domain,apli,version,users,am,ahy,posts ,
zacpwhite.social,mastodon,4.2.0,1 ,1 ,1 ,144 ,
social.romaricpascal.com,mastodon,4.1.4,1 ,1 ,1 ,1353 ,
malmo.chat,mastodon,4.2.0,1 ,1 ,1 ,354 ,
superpets.social,mastodon,4.2.0,84 ,25 ,42 ,3001 ,
zoroark.cafe,mastodon,4.2.0,3 ,3 ,3 ,2027 ,
suncoast.dev,mastodon,4.0.2,7 ,3 ,5 ,433 ,
toot.beer,mastodon,4.2.0,5 ,2 ,2 ,282 ,
vyos.social,akkoma,3.10.4,5 ,4 ,6 ,1169 ,
mastodon.ameth.org,mastodon,4.1.4,36 ,9 ,16 ,1054 ,
mastodon.escepticos.es,mastodon,4.2.0,166 ,39 ,91 ,3215 ,
foxpile.online,mastodon,4.2.0,2 ,1 ,2 ,395 ,
social.amichan.de,mastodon,4.2.0,6 ,4 ,4 ,261 ,
gazpacho.social,mastodon,4.2.0,1 ,3 ,3 ,133 ,
pouet.fedi.quebec,mastodon,4.2.0,5 ,5 ,5 ,700 ,
toot.phasorburn.com,firefish,1.0.4-beta31,5 ,3 ,3 ,60 ,
odd.town,firefish,1.0.3,38 ,19 ,37 ,4040 ,
mastodon.jotboard.info,mastodon,4.2.0,1 ,2 ,2 ,0 ,
accioly.social,mastodon,4.2.0,2 ,2 ,2 ,222 ,
fetswing.org,mastodon,4.2.0,1531 ,32 ,158 ,1631 ,
kinetix.social,mastodon,4.1.0,3 ,1 ,1 ,6 ,
eggplant.social,mastodon,4.1.4,100 ,33 ,62 ,1771 ,
mastodon.in.ua,mastodon,4.1.4,159 ,33 ,137 ,5726 ,
rat.party,mastodon,3.5.3,15 ,2 ,6 ,402 ,
werebeast.net,mastodon,4.1.6,23 ,2 ,2 ,816 ,
corp.social,mastodon,4.2.0,13 ,4 ,7 ,104 ,
p.mr64.net,pleroma,2.5.4,5 ,1 ,5 ,1112 ,
sns.azkware.net,firefish,1.0.5-dev17,4 ,2 ,2 ,3185 ,
toots.niark.nexus,mastodon,4.2.0,3 ,3 ,3 ,1583 ,
hello-project.org,mastodon,4.2.0,12 ,10 ,12 ,278 ,
thehappyfamily.stream,mastodon,4.2.0,27 ,18 ,27 ,1396 ,
social.veraciousnetwork.com,mastodon,4.1.4~cdp1337,2082 ,164 ,613 ,4119 ,
focal.social,mastodon,4.1.7,23 ,5 ,6 ,1211 ,
rter.io,mastodon,4.1.5,1 ,1 ,1 ,38155 ,
crosstalk.tech,mastodon,4.1.4,110 ,29 ,55 ,4103 ,
nottwitter.puhtahtoe.com,mastodon,4.2.0,1 ,1 ,1 ,3 ,
dgc.social,mastodon,4.1.9,9 ,8 ,8 ,374 ,
gamedev.lgbt,mastodon,4.2.0,115 ,54 ,70 ,14931 ,
soc.redeagle.me,firefish,1.0.3,2 ,1 ,1 ,204 ,
trashmagic.community,mastodon,4.2.0,21 ,11 ,22 ,325 ,
masto.doserver.top,mastodon,4.2.0-rc2,1 ,1 ,1 ,320 ,
social.noleron.com,mastodon,4.2.0,26 ,22 ,29 ,5342 ,
carelesswhisper.nl,mastodon,4.2.0,2 ,1 ,2 ,686 ,
larkspur.one,akkoma,3.10.3-201-gc8e08e9c-develop,15 ,7 ,11 ,2281 ,
shrike.club,mastodon,3.5.10,188 ,143 ,162 ,1002771 ,
mastodon.economiasocial.org,mastodon,4.1.5,35 ,21 ,24 ,2354 ,
clacks.link,mastodon,4.2.0-mrt,30 ,20 ,25 ,28694 ,
firefish.aperture-science.engineering,firefish,1.0.3,3 ,1 ,1 ,28 ,
lipn.info,mastodon,4.1.4,60 ,29 ,37 ,4510 ,
bencollier.uk,mastodon,4.2.0-beta2,2 ,1 ,2 ,33 ,
toot.garden,mastodon,4.2.0-rc2,331 ,103 ,342 ,23184 ,
talk.stayas.one,mastodon,4.2.0,3 ,3 ,3 ,745 ,
kinktroet.social,mastodon,4.2.0,142 ,44 ,84 ,3399 ,
mastodon.quantumindigo.org,mastodon,4.1.2,13 ,1 ,6 ,2139 ,
lewacki.space,mastodon,4.2.0,723 ,126 ,377 ,21270 ,
tiepup.com,mastodon,4.2.0,5 ,4 ,5 ,1687 ,
mastodon.select,mastodon,4.0.2,3 ,0 ,1 ,3 ,
acc4e.com,mastodon,4.2.0,8 ,5 ,7 ,1797 ,
hsnl.social,mastodon,4.1.4+glitch,146 ,55 ,92 ,8743 ,
blackrock.city,mastodon,4.2.0,192 ,11 ,31 ,605 ,
wobbl.xyz,mastodon,4.2.0+glitch,946 ,616 ,754 ,108516 ,
possum.city,iceshrimp,2023.10.04,92 ,17 ,81 ,12302 ,
social.dib.de,mastodon,4.3.0-nightly.2023-10-04,7 ,5 ,5 ,753 ,
graeber.social,mastodon,4.2.0,97 ,40 ,76 ,3515 ,
biologists.social,mastodon,4.2.0,218 ,111 ,226 ,12357 ,
fedi.floof.social,iceshrimp,1.0.2,3 ,1 ,2 ,116 ,
iaccessibility.social,mastodon,4.2.0,79 ,33 ,51 ,9361 ,
geekprojects.com,mastodon,4.1.4,2 ,2 ,2 ,4390 ,
kein.chat,akkoma,3.10.4-0-gebfb617,1 ,1 ,1 ,121 ,
birdbutt.com,mastodon,4.2.0,35 ,21 ,28 ,7218 ,
farlands.cafe,mastodon,4.2.0+farlands,10 ,6 ,10 ,66 ,
social.as200950.com,mastodon,4.2.0-nightly.2023-10-04+glitch,3 ,3 ,3 ,633 ,
bv.umbrellix.org,akkoma,3.4.0-117-gde1bbc02,9 ,null,null,4950 ,
seocommunity.social,mastodon,4.2.0,1072 ,160 ,391 ,25507 ,
rva.party,mastodon,4.0.1,127 ,8 ,25 ,14947 ,
opayq.social,akkoma,3.8.0,2 ,1 ,2 ,57 ,
postpandemicparty.org,mastodon,4.2.0,62 ,10 ,25 ,4305 ,
mast.mastodonsports.social,mastodon,4.2.0,216 ,58 ,236 ,6547 ,
liminalisland.xyz,mastodon,4.2.0,6 ,4 ,6 ,647 ,
pleroma.cucked.me,pleroma,2.5.54-430-g1dc42c95-shitposterclub+dev,11 ,1 ,3 ,1945 ,
fedi.keinpfusch.net,pleroma,2.5.52-307-g819fccb7-develop,7 ,4 ,4 ,54 ,
tester.social,mastodon,3.5.4,7 ,2 ,4 ,103 ,
masto.colonelinux.org,mastodon,4.2.0,1 ,1 ,1 ,2360 ,
axiomeval.social,mastodon,4.2.0,1 ,1 ,1 ,68 ,
pleroma.diyarciftci.xyz,pleroma,2.5.1,1 ,0 ,1 ,19 ,
mastodon.sunn.net,mastodon,4.1.4,4 ,2 ,3 ,23 ,
social.fz-juelich.de,mastodon,4.1.7,5 ,4 ,5 ,29 ,
f.familie-will.at,firefish,1.0.3,3 ,1 ,1 ,5110 ,
lyttle.cam,mastodon,4.2.0,1 ,1 ,1 ,18 ,
thepathbegins.social,mastodon,4.1.4,1 ,1 ,1 ,2 ,
geeksociety.social,mastodon,4.1.4,1 ,1 ,1 ,300 ,
mastodon.indiegamesdevel.com,mastodon,4.2.0,2 ,1 ,2 ,3 ,
bop-it.com,firefish,1.0.3,9 ,3 ,7 ,45 ,
social.worgames.com,mastodon,4.1.6,1 ,1 ,2 ,48 ,
supersocial.space,mastodon,4.1.6,1 ,1 ,1 ,346 ,
ciecuo.club,mastodon,4.1.7,20 ,10 ,11 ,3974 ,
taproot.social,mastodon,4.2.0,1 ,1 ,1 ,24 ,
sling.monster,mastodon,4.2.0,1 ,1 ,2 ,70 ,
social.eden.one,mastodon,4.2.0,3 ,2 ,2 ,893 ,
pifke.social,pleroma,2.4.4,2 ,null,null,3 ,
coffeeeldritch.art,pleroma,2.4.53-906-gf40ccce7-develop,1 ,1 ,1 ,25 ,
pad.venzano.fr,mastodon,4.2.0,3 ,2 ,3 ,42 ,
nocoolnametom.com,pleroma,2.5.0,2 ,1 ,1 ,48 ,
so.prx.link,pleroma,2.5.0,1 ,0 ,0 ,8 ,
toot.kartonrad.de,mastodon,3.5.2,0 ,2 ,8 ,3049 ,
palmsy.club,mastodon,4.0.2,7 ,2 ,6 ,109 ,
jtrem.me,mastodon,4.2.0,1 ,1 ,1 ,20 ,
tonikawa.social,misskey,13.13.2,12 ,null,null,54 ,
social.helene.tk,mastodon,4.1.4,28 ,3 ,17 ,442 ,
masti.algorithm.berlin,mastodon,4.0.2,1 ,1 ,1 ,13 ,
sexpolitics.co.uk,mastodon,4.0.11,2 ,1 ,2 ,411 ,
tsukimio.org,mastodon,4.1.6,4 ,4 ,4 ,26 ,
cosmedn.net,mastodon,4.2.0,99 ,30 ,80 ,2038 ,
social.itfm.xyz,mastodon,4.1.5,3 ,1 ,3 ,83 ,
mstdn.wtf,mastodon,4.1.6,5 ,1 ,3 ,24 ,
selbsthilfe.social,mastodon,4.2.0,2 ,2 ,2 ,55 ,
mkultra.me,mastodon,4.1.4,5 ,4 ,5 ,172 ,
social.esmailelbob.xyz,pleroma,2.5.54-338-ga94cf2ad-develop,1 ,1 ,4 ,565 ,
overenginerd.org,mastodon,4.0.2,1 ,1 ,1 ,44 ,
boop.network,mastodon,4.2.0,6 ,6 ,6 ,30 ,
mastodom.social,mastodon,4.2.0,41 ,8 ,25 ,30 ,
mastodon.inclusion.cc,mastodon,4.1.5,6 ,0 ,0 ,155 ,
mastodon.janusweb.org,mastodon,4.2.0,2 ,1 ,2 ,68 ,
ohelig.me,mastodon,4.2.0,1 ,1 ,1 ,36 ,
social.ataxya.net,mastodon,4.1.4,113 ,24 ,51 ,9769 ,
darkpenguin.social,mastodon,4.2.0,1 ,0 ,0 ,1 ,
roshless.me,mastodon,4.2.0,2 ,2 ,2 ,91 ,
pub.str.rs,mastodon,4.2.0,1 ,1 ,1 ,0 ,
calculate.social,mastodon,4.1.4,241 ,18 ,32 ,8956 ,
ctdl.co,mastodon,4.1.5,6 ,1 ,1 ,161 ,
bitsandpixels.dev,mastodon,4.1.4,3 ,3 ,3 ,115 ,
coplus.social,mastodon,4.0.2,12 ,0 ,1 ,14 ,
m.litten.org,mastodon,4.2.0,1 ,1 ,1 ,1 ,
duisburg.social,mastodon,4.0.2,2 ,2 ,2 ,39 ,
social.draconis.me,mastodon,4.2.0,2 ,1 ,1 ,106 ,
social.klaps.me,mastodon,4.1.4,2 ,1 ,1 ,28 ,
bigchat.social,mastodon,4.1.4,2 ,1 ,1 ,4 ,
rosafamily.social,mastodon,4.2.0,2 ,2 ,2 ,409 ,
devsociety.eu,mastodon,4.1.4,2 ,1 ,2 ,9 ,
toot.nextblock.nl,mastodon,4.0.2,4 ,2 ,2 ,23 ,
maclock.social,mastodon,4.1.9,1 ,1 ,1 ,25 ,
socialpapiga.top,mastodon,4.1.7,1 ,1 ,1 ,108 ,
dao.chinese.org,mastodon,4.1.2,34 ,6 ,35 ,73 ,
48club.social,calckey,14.0.0-rc3,4 ,0 ,2 ,1 ,
3672.freeboxos.fr,mastodon,4.2.0-beta1,1 ,1 ,1 ,45 ,
thefire.work,pleroma,2.5.4,306 ,86 ,142 ,13928 ,
toot.rhizome.red,mastodon,4.2.0,2 ,2 ,2 ,11 ,
mastodon.drewhess.social,mastodon,4.2.0,2 ,1 ,2 ,46 ,
punkland.masto.host,mastodon,4.2.0,1 ,1 ,1 ,23 ,
twt.rs,misskey,13.13.2,61 ,null,null,3471 ,
social.silkyplover.org,mastodon,4.0.2,3 ,2 ,3 ,17 ,
lopp.social,mastodon,3.4.4,1 ,1 ,1 ,89 ,
xo.se,mastodon,4.2.0,2 ,2 ,2 ,29 ,
don.hammons.llc,mastodon,4.2.0,3 ,1 ,2 ,23 ,
hereiszyn.com,pleroma,2.5.2-13-g2d193861,2 ,1 ,1 ,2479 ,
based.social,mastodon,4.1.3,42 ,6 ,16 ,1013 ,
404.inexist.club,mastodon,4.1.0,89 ,24 ,37 ,21832 ,
mastodon.madder-mad.net,mastodon,4.1.2,2 ,0 ,1 ,371 ,
dulfer.social,pleroma,2.5.52-296-ge3820716-develop,2 ,1 ,1 ,39 ,
ms.linuch.pl,mastodon,4.0.2,1 ,0 ,1 ,2 ,
thecovertgeek.xyz,mastodon,4.2.0,4 ,1 ,2 ,30 ,
fediverse.sideras.net,pleroma,2.4.4,1 ,null,null,80 ,
social.ancow.name,mastodon,4.2.0,2 ,1 ,1 ,43 ,
mastodon.cf,mastodon,3.3.0,429 ,15 ,33 ,20179 ,
social.planetelysium.com,mastodon,4.2.0-beta1,3 ,1 ,3 ,21 ,
enchanted.social,mastodon,4.1.4,4 ,2 ,3 ,25 ,
malt.social,mastodon,4.1.2,1 ,1 ,1 ,76 ,
mastodon.gsugambit.com,mastodon,3.5.3,12 ,9 ,29 ,550 ,
bahamutsoft.net,mastodon,4.2.0,2 ,1 ,2 ,36 ,
outre.social,mastodon,4.2.0,5 ,3 ,5 ,101 ,
umbrella.cafe,mastodon,3.5.2,2 ,1 ,1 ,9786 ,
project-nex.net,mastodon,4.0.2,1 ,1 ,1 ,15 ,
social.mysticalartai.com,mastodon,4.2.0,1 ,1 ,1 ,6 ,
torlaz.online,mastodon,3.1.4,56 ,53 ,310 ,10387 ,
endtimebelievers.com,mastodon,4.2.0,3 ,2 ,2 ,160 ,
social.diverge.gg,mastodon,4.2.0,2 ,1 ,1 ,1 ,
pmai.social,mastodon,4.2.0,2 ,1 ,2 ,0 ,
miki.live4you.one,misskey,13.14.2,44 ,null,null,2316 ,
toot.9wd.eu,mastodon,4.2.0,1 ,1 ,1 ,238 ,
social.firlefanz.one,mastodon,4.2.0,4 ,1 ,2 ,143 ,
social.piweb.be,mastodon,4.1.4,2 ,1 ,1 ,121 ,
futurevista.social,mastodon,4.2.0,2 ,0 ,0 ,12 ,
zepi.social,mastodon,4.1.4,2 ,2 ,2 ,64 ,
fedi.sal.dev,pleroma,2.5.4,1 ,1 ,1 ,46 ,
mastodon.syncpundit.io,mastodon,4.1.1,1 ,0 ,1 ,0 ,
mastodon.solsystem.social,mastodon,4.0.2,4 ,1 ,4 ,2 ,
nonsense.garethrogers.net,mastodon,3.5.3,2 ,2 ,2 ,12 ,
pleroma.skeptikon.fr,pleroma,2.5.5,14 ,4 ,8 ,1067 ,
mastodon.compositecomputer.club,mastodon,4.1.6,260 ,97 ,143 ,826489 ,
c7.io,mastodon,4.2.0,66 ,27 ,30 ,2364 ,
t-mobile.community,mastodon,4.0.2,67 ,6 ,30 ,29 ,
thisisnotaserver.com,mastodon,4.2.0,1 ,1 ,1 ,12 ,
social.cemper.net,mastodon,4.1.4,2 ,1 ,2 ,136 ,
trpg.cloud,mastodon,4.0.2,1030 ,223 ,401 ,163660 ,
dekkia.com,mastodon,4.2.0,1 ,1 ,1 ,217 ,
mastodon.cab,mastodon,4.0.4,2 ,1 ,2 ,14 ,
bikabika.xyz,mastodon,4.0.2,12 ,0 ,3 ,240 ,
frnds.network,mastodon,4.1.6,9 ,3 ,4 ,63 ,
social.fusenigk.de,mastodon,4.1.4,2 ,1 ,1 ,15 ,
social.here.blue,pleroma,2.1.50-854-g294628d9-develop,2 ,null,null,6139 ,
csunday95.space,mastodon,4.0.2,1 ,0 ,1 ,3 ,
social.defenestrate.it,pleroma,2.5.0,2 ,1 ,2 ,65 ,
fedi.demelt.net,mastodon,4.2.0,4 ,2 ,3 ,1456 ,
m.0x.mk,mastodon,4.2.0,2 ,2 ,2 ,74 ,
haxx.us,mastodon,4.1.0,2 ,1 ,2 ,31 ,
mousehole.online,mastodon,4.2.0,6 ,1 ,3 ,45 ,
mastodon.harrykantas.com,mastodon,4.2.0,1 ,0 ,0 ,6 ,
toot.x2a.io,mastodon,4.1.7,1 ,1 ,1 ,10 ,
veganbyproxy.net,mastodon,4.2.0,1 ,1 ,1 ,62 ,
remotelab.uk,mastodon,4.2.0,1 ,1 ,1 ,270 ,
pub.communistparty.org.uk,mastodon,4.2.0,25 ,9 ,18 ,137 ,
stefankoopmanschap.nl,mastodon,4.2.0,1 ,1 ,1 ,1216 ,
harz.social,mastodon,4.2.0,19 ,3 ,9 ,142 ,
nullspace.ie,mastodon,3.5.10,1 ,1 ,1 ,53 ,
mastodon.debugco.de,mastodon,4.1.6,2 ,1 ,1 ,13 ,
social.boiledscript.com,misskey,2023.9.3,20 ,null,null,2459 ,
mastodon.madhammer.club,mastodon,4.1.5,13 ,5 ,7 ,282 ,
misskey.erenoa.com,misskey,13.14.2,13 ,null,null,74 ,
malu.today,mastodon,4.2.0,19 ,9 ,11 ,87908 ,
magni.astarbia.com,mastodon,4.2.0,2 ,2 ,2 ,247 ,
darksiders.me,mastodon,4.2.0,7 ,1 ,1 ,31 ,
kleins.io,mastodon,4.0.2,3 ,1 ,1 ,14 ,
mastodon.lighti.de,mastodon,4.1.4,1 ,1 ,1 ,45 ,
p.gow.fr,mastodon,4.0.2,2 ,1 ,1 ,21 ,
minitel.cloud,pleroma,2.5.4,1 ,1 ,1 ,59 ,
shine.d-lowl.space,pleroma,2.4.4,5 ,null,null,42 ,
social.linc.systems,mastodon,4.2.0,7 ,3 ,4 ,7300 ,
social.gtw.lt,pleroma,2.5.51-152-g0524e66a-develop,1 ,1 ,1 ,5 ,
kleinebackstube.org,mastodon,4.2.0,1 ,1 ,1 ,123 ,
plumes.io,mastodon,4.2.0,12 ,2 ,9 ,1032 ,
nerd-gemein.de,pleroma,2.5.5,2 ,1 ,3 ,29 ,
alwayssleeping.com,mastodon,4.0.2,13 ,6 ,8 ,276 ,
mastodon.thestreamdivision.stream,mastodon,4.2.0,1 ,0 ,0 ,6 ,
mastodon.mariustimmer.de,mastodon,4.1.9,1 ,1 ,1 ,39 ,
mastodon.freie.app,mastodon,4.1.2,2 ,2 ,2 ,11 ,
noexce.pt,pleroma,2.4.4,1 ,null,null,0 ,
sas.monster,misskey,2023.9.1,7 ,null,null,408 ,
qpixel.pw,mastodon,4.1.2+glitch,1 ,0 ,1 ,2 ,
hub.gjdwebserver.nl,mastodon,4.1.6,2 ,1 ,2 ,42 ,
gay.skid.do,mastodon,4.1.4+glitch,2 ,2 ,2 ,1396 ,
pleroma.chagratt.site,pleroma,2.5.5,2 ,2 ,2 ,493 ,
social.hell0friend.de,pleroma,2.5.5,2 ,1 ,3 ,0 ,
pub.kreig.rocks,mastodon,4.1.4,2 ,1 ,2 ,7 ,
kastelo.dev,mastodon,4.1.4,3 ,2 ,2 ,516 ,
thesenate.cc,mastodon,4.0.0,5 ,2 ,3 ,10146 ,
social.pueseso.club,mastodon,4.2.0,1 ,1 ,1 ,2682 ,
cs.social,mastodon,4.2.0,2 ,2 ,2 ,64 ,
masto.wardenburg.social,mastodon,4.2.0,5 ,0 ,0 ,3 ,
masto.blasters.fr,mastodon,4.2.0,3 ,1 ,1 ,204 ,
social.xmh.one,mastodon,4.1.2,4 ,1 ,3 ,352 ,
purplespider.social,mastodon,4.2.0,1 ,1 ,1 ,71 ,
social.0badc0.de,akkoma,3.10.4-0-g0af8e93,1 ,1 ,1 ,0 ,
misskey.arumino-om.net,misskey,13.8.1,6 ,null,null,17 ,
mastodon.starnet.cz,mastodon,4.1.4,7 ,2 ,5 ,662 ,
m.zyxl.xyz,mastodon,3.5.3,1 ,0 ,1 ,12 ,
social.rudel.nl,mastodon,4.1.6,2 ,1 ,1 ,13 ,
moetz.social,mastodon,4.0.4,1 ,0 ,1 ,0 ,
social.utdoasn.com,mastodon,4.2.0,1 ,1 ,1 ,2 ,
social.hashbang.sh,calckey,13.1.4.1,2 ,0 ,1 ,0 ,
mastodon.myepicserver.de,mastodon,3.4.6,3 ,0 ,0 ,2 ,
masto.garriguv.io,mastodon,4.2.0,1 ,1 ,1 ,19 ,
tootbot.org,mastodon,4.1.2,11 ,2 ,4 ,239 ,
soc.gng.io,pleroma,2.5.52-284-g7da6a82d-develop,1 ,1 ,1 ,202 ,
misaka.chat,mastodon,4.2.0,2 ,1 ,1 ,362 ,
mastodon.fancy.org.uk,mastodon,4.2.0,7 ,4 ,4 ,782 ,
social.genesismachina.ca,pleroma,2.5.2,1 ,1 ,1 ,8 ,
terra.social,mastodon,4.2.0,9 ,9 ,9 ,71 ,
social.nasutek.com,mastodon,4.1.5,1 ,0 ,1 ,1 ,
mo.tt,mastodon,4.0.2,1 ,0 ,1 ,32 ,
strelsky.net,mastodon,4.1.4,1 ,1 ,1 ,55 ,
dom.ke,mastodon,4.1.6,2 ,1 ,1 ,53 ,
soc.eli173.com,mastodon,4.2.0-beta2+glitch,6 ,2 ,2 ,4167 ,
m.santolin.eu,mastodon,4.2.0,1 ,1 ,1 ,23 ,
toot.metasyntactical.com,mastodon,4.0.2,3 ,2 ,2 ,93 ,
social.undarkpixel.com,mastodon,4.1.2,2 ,0 ,1 ,57 ,
hiyashi.shimapan.moe,pleroma,2.5.1,1 ,1 ,1 ,6 ,
social.codi.moe,pleroma,2.4.53-904-gbb63f72c-develop,1 ,0 ,1 ,1 ,
kon.tanukitsu.net,pleroma,2.3.0-1-gb221d77a,3 ,null,null,12 ,
mastodon.tiennot.net,mastodon,4.0.5,2 ,1 ,2 ,1096 ,
m.ansd.xyz,mastodon,4.2.0,2 ,1 ,2 ,26 ,
skunksocial.com,mastodon,4.0.2,3 ,0 ,0 ,21 ,
toot.8th.world,mastodon,4.2.0,3 ,1 ,3 ,52 ,
meow.cloud,mastodon,4.2.0,30 ,10 ,18 ,3043 ,
mastodon.greenwichmeanti.me,mastodon,3.5.1,1 ,1 ,1 ,94 ,
hosszu.social,mastodon,4.2.0,1 ,1 ,1 ,95 ,
greatfallsarcade.com,mastodon,4.2.0,2 ,0 ,1 ,4 ,
mastodon.conquestuniverse.com,mastodon,4.0.2,42 ,25 ,145 ,124 ,
danvelopment.net,mastodon,4.0.2,4 ,0 ,2 ,33 ,
social.plumey.com,mastodon,4.2.0,1 ,1 ,1 ,51 ,
m.stpauli.social,firefish,1.0.3,3 ,1 ,2 ,221 ,
masto.mcgeo.xyz,mastodon,3.5.3,2 ,1 ,2 ,19 ,
monb.work,mastodon,4.2.0,1 ,1 ,1 ,70 ,
timbo.social,mastodon,4.2.0,1 ,1 ,1 ,8 ,
hackodon.com,mastodon,4.1.8,3 ,2 ,2 ,27 ,
misaka.social,misskey,2023.9.2,8 ,null,null,1434 ,
mastodon.horvath.com,mastodon,4.0.2,1 ,0 ,1 ,23 ,
meowstodon.net,mastodon,4.2.0-nightly.2023-09-21,5 ,1 ,1 ,692 ,
rosafluffmoln.nu,mastodon,4.1.4,2 ,1 ,1 ,50 ,
turtle.pizza,mastodon,4.1.4,4 ,3 ,3 ,193 ,
ansible.jshwlkr.info,mastodon,4.2.0,1 ,1 ,1 ,227 ,
mastodon.wtfomfg.org,mastodon,4.1.9,3 ,1 ,2 ,15 ,
taiwan.riley-tech.net,mastodon,4.1.4,2 ,0 ,2 ,46 ,
social.glasgownet.com,firefish,1.0.4-beta,2 ,1 ,1 ,206 ,
italkedtostrangers.com,mastodon,4.1.4,5 ,1 ,2 ,7 ,
mastodonte.red,mastodon,4.1.9,9 ,1 ,4 ,90 ,
laviadililith.social,mastodon,4.2.0,19 ,12 ,17 ,7105 ,
piaf.stilobique.com,mastodon,4.2.0,2 ,1 ,1 ,422 ,
goab.net,mastodon,4.2.0,2 ,1 ,2 ,5 ,
m.debianlinux.de,mastodon,4.1.2,2 ,1 ,2 ,6 ,
orca.lateforlunch.life,mastodon,4.1.2,19 ,2 ,4 ,76 ,
social.shrimp.faith,mastodon,4.2.0,4 ,1 ,2 ,3 ,
mastodon.pyrignis.fr,mastodon,4.2.0,1 ,1 ,1 ,3 ,
blieb.net,mastodon,4.1.4,1 ,1 ,1 ,187 ,
assonance.org,mastodon,4.2.0,2 ,1 ,2 ,8 ,
social.arkm.de,mastodon,4.0.2,18 ,7 ,18 ,1290 ,
m.bratpfannenberg.com,mastodon,4.2.0,2 ,1 ,4 ,166 ,
rwx.ch,mastodon,4.2.0,4 ,1 ,1 ,164 ,
mastodon.youusme.com,mastodon,4.1.4,6 ,1 ,3 ,16 ,
dtwylr.net,mastodon,4.2.0,1 ,1 ,1 ,3 ,
psyopshop.com,mastodon,4.2.0,4 ,1 ,1 ,51 ,
social.jjohnson.org,pleroma,2.4.5-2-gd8e32646,1 ,null,null,45 ,
social.io18.top,mastodon,4.2.0,8 ,6 ,7 ,1147 ,
social.trizz.io,mastodon,4.2.0,2 ,1 ,1 ,20 ,
ots.social,mastodon,4.1.4,2 ,1 ,2 ,33 ,
blasmusik.social,mastodon,4.2.0,6 ,4 ,5 ,215 ,
mastodon.einfachmc.de,mastodon,4.1.9,3 ,3 ,3 ,63 ,
masto.hoffman.studio,mastodon,4.2.0,2 ,2 ,2 ,9 ,
gbo.social,mastodon,4.2.0,2 ,1 ,1 ,103 ,
thegathering.social,mastodon,4.2.0,28 ,1 ,3 ,26 ,
letallmortalfleshfindtheirvoice.social,mastodon,4.2.0,10 ,0 ,0 ,183 ,
drumbum42.com,mastodon,4.2.0,3 ,1 ,2 ,380 ,
vorlon.space,mastodon,4.1.5,1 ,1 ,1 ,34 ,
federated.saagarjha.com,pleroma,2.5.4,1 ,1 ,1 ,3314 ,
topenddevs.social,mastodon,4.1.0,3 ,0 ,1 ,56 ,
bloade.social,mastodon,4.1.2,1 ,1 ,1 ,3 ,
fuzz.network,mastodon,4.1.9,1 ,1 ,1 ,177 ,
social.mjohnson.tech,mastodon,4.2.0,13 ,4 ,4 ,55 ,
social.fedida.com,mastodon,4.1.4,2 ,0 ,1 ,10 ,
pleroma.adenine.fr,pleroma,2.5.2,1 ,1 ,1 ,0 ,
mastodon.bastelfreak.cloud,mastodon,4.1.7,2 ,1 ,1 ,70 ,
ki6bjv.social,mastodon,4.2.0,1 ,1 ,1 ,255 ,
social.maschinendeck.org,mastodon,4.0.2,6 ,5 ,6 ,55 ,
mastodon.goto.bi,mastodon,4.2.0,3 ,1 ,1 ,909 ,
matya.social,mastodon,4.2.0,2 ,1 ,1 ,20 ,
masto.tymch.uk,mastodon,4.1.1,1 ,1 ,1 ,101 ,
tastingtraffic.net,mastodon,3.5.3,5 ,4 ,22 ,12462 ,
chswx.social,mastodon,4.2.0,4 ,4 ,4 ,1729 ,
sheep.network,pleroma,2.5.54-614-g95261979.develop+soapbox,22 ,4 ,12 ,643 ,
mastodon.kebree.fr,mastodon,4.2.0,6 ,1 ,1 ,389 ,
mastodon.titi.me.uk,mastodon,4.1.7,1 ,1 ,1 ,5 ,
mastodon.gomzik.xyz,mastodon,4.2.0,1 ,1 ,1 ,1788 ,
social.jumpartifact.com,pleroma,2.5.5,2 ,1 ,2 ,49 ,
auxim.social,mastodon,4.2.0,1 ,1 ,1 ,4 ,
pbk.social,mastodon,4.1.9,3 ,2 ,3 ,168 ,
mailcow.social,mastodon,4.0.7,5 ,1 ,1 ,23 ,
gaken.social,mastodon,4.2.0,2 ,2 ,2 ,22 ,
stargate.pbcarrara.com.br,gotosocial,0.11.0,1 ,null,null,46 ,
social.hinter.bayern,pleroma,2.5.54-636-g6ceceef8.develop+soapbox,4 ,1 ,2 ,5 ,
zocial.ee,mastodon,4.1.6,19 ,8 ,19 ,1620 ,
malone.social,mastodon,4.1.4,1 ,1 ,1 ,83 ,
neverwhe.re,mastodon,4.1.4,1 ,1 ,1 ,243 ,
mstdn.litschner.com,mastodon,4.1.9,2 ,1 ,1 ,108 ,
mastodon.breiteberg.de,mastodon,4.2.0,5 ,4 ,4 ,50 ,
social.tomkrizan.com,mastodon,4.1.7,5 ,1 ,3 ,16 ,
toot.lt,mastodon,4.1.6,3 ,2 ,3 ,1187 ,
tschopp.net,mastodon,4.2.0,3 ,3 ,3 ,279 ,
mastodon.lanham.id.au,mastodon,3.5.3,3 ,1 ,2 ,86 ,
social.webitel.me,mastodon,4.2.0,2 ,2 ,5 ,885 ,
renegade.7365000.xyz,mastodon,4.1.0,2 ,0 ,1 ,0 ,
