domai,application,version,accounts,MAU,HYAU,posts
gaymer.social,mastodon,4.3.0-alpha.5+glitch,13,8,11,632
hal9.ooo,mastodon,4.2.10,13,11,13,6249
hexagon.space,mastodon,4.1.4,13,2,5,684
hydrocube.space,mastodon,4.2.10,13,3,4,2372
hypermute.com,mastodon,4.2.7,13,3,3,319
icedtux.no,mastodon,4.2.8,13,3,7,2374
ice-lolly.social,mastodon,4.2.10,13,7,9,3558
idw-online.social,mastodon,4.2.10,13,5,8,21271
ilys.fm,mastodon,4.2.10,13,5,5,2648
jforo.com,mastodon,4.1.18,13,13,13,370758
mastodon.adju.st,mastodon,4.2.10,13,5,8,96
mastodon.dragonbox.de,mastodon,4.2.7,13,3,3,5314
mastodon.liyuan.app,mastodon,4.3.6-alpha.0,13,9,11,27191
mastodon.madhammer.club,mastodon,4.2.10,13,4,7,487
mastodon.zevs.me,mastodon,4.2.10,13,2,3,202
masto.popgeeks.com,mastodon,4.3.0-alpha.5+glitch,13,2,28,1965
omani.social,mastodon,4.2.10,13,2,4,166
pets.contact,mastodon,4.2.10,13,1,10,326
qth.social,mastodon,4.2.10,13,3,5,3961
queer.dev,mastodon,4.2.10,13,7,17,2319
sciences.dental,mastodon,4.2.10,13,3,8,98
social.anjara.eu,mastodon,4.2.10,13,0,3,44
social.ipfire.org,mastodon,4.2.10,13,2,4,420
social.medienzentrum.rocks,mastodon,4.2.10,13,4,6,131
social.oddly-influenced.dev,mastodon,4.2.10,13,5,9,876
social.okoyono.de,mastodon,4.2.10,13,7,8,3247
solarcene.community,mastodon,4.2.10,13,7,9,6225
talamanca.social,mastodon,4.2.7,13,6,8,6174
terra.social,mastodon,4.2.10,13,6,9,369
vipper.party,mastodon,4.1.4,13,4,10,145
wholesome.computer,mastodon,4.2.10,13,4,5,705
fed.fsub.de,mastodon,4.2.10,13,1,6,127
dbg.social,mastodon,4.2.7,13,1,2,131
mas.nzcow.com,mastodon,4.2.10,13,6,7,351
flanintheface.com,mastodon,4.2.10,13,2,2,4607
kalmar.social,mastodon,4.2.7,13,2,17,5209
m.flyemoji.moe,mastodon,4.2.10,13,8,10,515
seglerinfo.social,mastodon,4.2.10,13,4,4,1184
1132don.com,mastodon,4.2.10,13,4,5,1527
noot.pingu4.me,mastodon,4.2.10,13,9,13,5241
staging.mastodon.social,mastodon,4.3.0-nightly.2024-07-20,13,7,9,21
toot.pingu4.me,mastodon,4.2.10,13,9,13,5241
mastodon.experienceadvisors.io,mastodon,4.2.10,13,0,2,186
computational.agency,mastodon,3.3.0,13,0,1,11
coplus.social,mastodon,4.2.8,13,0,49,14
mastodon.pastleo.me,mastodon,4.2.10,13,3,3,111
music.social,mastodon,4.2.7,13,2,6,147
webxr.social,mastodon,4.2.10,13,3,7,250
social.krui.me,mastodon,4.1.0,13,4,6,274
social.e-editiones.org,mastodon,4.2.10,13,2,6,130
bbq.golf,mastodon,4.2.10,13,2,3,396
reverie.masto.host,mastodon,4.2.10,13,11,13,1718
tooter.kr,mastodon,4.1.4,13,2,18,1142
patriciadrive.com,mastodon,4.1.5,13,1,1,150
za.la,mastodon,4.2.10,13,9,13,261
natestodon.social,mastodon,4.2.10,13,4,11,110
farlands.cafe,mastodon,4.3.0-alpha.3+farlands,13,5,9,310
social.wowmedia.net,mastodon,4.2.10,13,8,13,571
pancake.masto.host,mastodon,4.2.10,13,0,2,42
mastodon.137i.de,mastodon,4.2.10,13,4,4,1278
mastodon.omnigroup.com,mastodon,4.2.10,13,12,12,218
social.crabs.life,mastodon,4.3.0-alpha.5+glitch,13,3,5,520
mastodon.elevenways.be,mastodon,4.3.0-alpha.4,13,2,6,778
social.boykisser.systems,mastodon,4.2.10,13,1,10,148
tooter.sftn.eu,mastodon,4.2.10,13,2,3,33
social.npo.nl,mastodon,4.2.10,13,5,10,964
mastodon.lqx.net,mastodon,4.2.10,13,1,3,772
social.3dots.lv,mastodon,4.2.10,13,1,2,190917
social.memecpy.xyz,mastodon,4.2.9,13,2,2,79
social.ndn.digital,mastodon,3.4.3,13,0,2,19
tiniest.world,mastodon,3.4.4,13,5,7,1971
samo.place,mastodon,4.2.10,13,5,12,10967
yip.gay,mastodon,4.3.0-nightly.2024-07-05-security+glitch,12,11,13,3906
connectified.com,mastodon,4.2.10,12,8,10,16881
mastinsaan.in,mastodon,4.2.10,12,6,10,5033
awjeez.help,mastodon,4.2.10,12,4,6,2040
mstdn.3naly.xyz,mastodon,4.2.7,12,7,11,8674
wakoka.com,mastodon,4.1.18,12,12,12,105944
waf.social,mastodon,4.2.10,12,1,4,178
birb.site,mastodon,4.2.10,12,5,6,54558
msps.io,mastodon,4.2.10,12,1,3,1660
lazysocial.de,mastodon,4.2.10,12,5,9,12287
mstdn.one,mastodon,4.2.10,12,1,8,1098
supervolcano.angryshark.eu,mastodon,4.3.0-alpha.5+glitch,12,4,9,46495
cho.yukiya.me,mastodon,4.2.10,12,5,11,6321
micro.blogs.princeton.edu,mastodon,4.2.10,12,5,13,96
mastodon.mauve.moe,mastodon,3.5.10,12,3,4,4200
mastodon.wurzelmann.at,mastodon,4.2.10,12,9,9,34707
entomophagy.world,mastodon,4.2.10,12,1,11,537
sb17.space,mastodon,4.1.13,12,5,5,7734
awoo.studio,mastodon,4.2.10,12,5,8,1327
degrowth.social,mastodon,4.2.10,12,6,10,3477
mastodon.hexix.de,mastodon,4.2.10,12,6,9,1482
eyes4you.org,mastodon,4.2.10,12,3,3,2233
tootbot.org,mastodon,4.2.10,12,2,3,401
rincha.club,mastodon,4.2.10,12,1,3,782
eicker.news,mastodon,4.2.10,12,11,11,10284
skol.social,mastodon,4.2.10,12,3,12,943
sebitech.social,mastodon,3.5.1,12,1,3,100
cmm.fyi,mastodon,4.0.2,12,4,54,1797
social.9tail.net,mastodon,4.2.0,12,2,4,844
innocent.yukimochi.io,mastodon,4.2.10,12,1,2,569
dz.social,mastodon,4.2.10,12,3,3,1691
pandas.social,mastodon,4.2.10,12,4,5,1272
mastodon.solar,mastodon,4.0.2,12,2,4,1045
edge.taruntarun.net,mastodon,4.3.0-alpha.5,12,1,1,683
1210.nl,mastodon,4.2.10,12,2,3,958
bikesare.cool,mastodon,4.3.0-alpha.1,12,0,4,254
bloom.surf,mastodon,4.2.8,12,6,8,394
boldcity.social,mastodon,4.3.0-nightly.2024-02-17-security+glitch,12,4,7,1888
bostonmusic.online,mastodon,4.2.10,12,1,2,3491
cccwi.social,mastodon,4.2.10,12,6,10,172
celsius.letemps.social,mastodon,4.2.10,12,3,10,338
cybersecurity.theater,mastodon,4.2.10,12,3,4,2888
dfir.social,mastodon,4.2.10,12,1,3,405
jubi.life,mastodon,4.3.0-alpha.3+glitchcity,12,9,9,53229
lizard.zone,mastodon,4.1.3,12,1,5,1726
mastodon.481516.xyz,mastodon,4.1.7,12,1,1,293
mastodon.evolix.org,mastodon,4.2.10,12,5,6,2963
mastodon.fedivienne.org,mastodon,4.2.10,12,8,10,824
mastodon.oldstyle-project.org,mastodon,4.2.10,12,1,1,127
mond-basis.eu,mastodon,4.2.10,12,5,8,54763
neuland.social,mastodon,4.2.10,12,3,7,579
nycr.social,mastodon,4.2.10,12,2,3,569
plock.social,mastodon,4.2.10,12,2,3,407
pon.ee,mastodon,4.2.10,12,3,6,279
ramble.space,mastodon,4.2.8,12,2,3,36
shitpost.school,mastodon,4.2.7,12,1,6,45
socialcoderz.com,mastodon,4.2.8,12,3,3,749
social.typica.us,mastodon,3.4.6,12,1,1,8093
social.zym.lol,mastodon,4.2.10,12,5,13,2976
starcitizen.name,mastodon,4.2.10,12,3,9,1333
teslapwners.club,mastodon,4.2.10,12,5,5,120671
topher.social,mastodon,4.1.9,12,1,6,31
toulouse.social,mastodon,4.2.10,12,5,5,2723
travel-friends.chat,mastodon,3.5.17,12,6,9,1759
wobscale.social,mastodon,3.5.10,12,3,3,787
x86.social,mastodon,4.0.2,12,0,2,61
kiloduck.com,mastodon,4.2.1,12,1,6,293
newmusic.social,mastodon,4.1.17,12,1,4,867
outergod.art,mastodon,4.0.2,12,2,5,110
dannythe.site,mastodon,4.2.10,12,1,2,1304
furpark.kr,mastodon,4.2.10,12,3,5,515
umet.us,mastodon,4.0.2,12,1,2,832
social.twotenlabs.net,mastodon,4.2.10,12,5,8,1033
social.rooty.fr,mastodon,4.2.10,12,2,2,78
wisdomhole.com,mastodon,4.0.2,12,9,12,12488
moe.mitchi.moe,mastodon,3.5.8,12,3,6,27281
theatrez.day,mastodon,4.2.10,12,10,11,729
some.hacklab.fi,mastodon,4.2.10,12,3,11,47
more.me,mastodon,4.1.2,12,1,9,3
blog.stegemann.de,mastodon,4.1.18,12,4,7,595
crosspage.nl,mastodon,4.1.2,12,2,5,523
josa.social,mastodon,4.2.10,12,2,2,51
mastodon.wowne.ro,mastodon,4.2.5,12,3,13,15
hoppclan.com,mastodon,4.1.4,12,9,10,3248
sota.sotamedia.org,mastodon,4.2.1,12,4,5,106
staging.social.azuki.co,mastodon,4.2.7,12,0,4,11
palmsy.club,mastodon,4.0.2,12,1,6,109
obeya.social,mastodon,4.2.9,12,3,5,37
campdarling.com,mastodon,4.1.4,12,1,4,22
docker.masto.pt,mastodon,4.2.10,12,1,4,66
takeko.monster,mastodon,4.2.10,12,2,2,2033
social-t.uibk.ac.at,mastodon,4.2.10,12,3,9,29
social.chilly.cloud,mastodon,4.2.10,12,1,2,18
mastoadmin.io,mastodon,4.2.10,12,1,3,18
social.juliestbagel.me,mastodon,4.2.10,12,0,4,147
jiong.us,mastodon,4.2.10,12,5,7,597
bayern-online.news,mastodon,4.2.10,12,1,3,2216
social.tcpcat.net,mastodon,4.1.4,12,0,44,19
mastodon.neat.computer,mastodon,4.3.0-alpha.5+glitch,12,6,6,3991
mastodon.femboyfurry.net,mastodon,4.2.10,12,3,4,380
sailing.masto.host,mastodon,4.2.10,12,0,2,6
dommes.supremegoddesses.com,mastodon,4.2.10,12,2,5,10
tut.iterate.no,mastodon,4.1.3,12,1,3,63
mastodon.logilab.fr,mastodon,4.2.10,12,6,6,179
mastodon.habets.dev,mastodon,4.2.10,12,3,6,930
glitch.cat.family,mastodon,3.5.3+kibicat,12,12,12,71476
social.computerfox.xyz,mastodon,4.3.0-alpha.5+glitch,12,6,6,141336
social.ahlroos.me,mastodon,4.2.7,12,10,10,1356
mastodon.aguiarvieira.pt,mastodon,4.2.10,12,9,10,127714
m.takamoriai.co,mastodon,4.0.2,12,3,4,150
social.noparking.net,mastodon,4.2.9,12,3,4,8
social.shinyuploads.com,mastodon,4.2.10,12,11,11,119
void.hostdon.ne.jp,mastodon,4.2.10,12,6,7,110341
boys-love.xyz,mastodon,4.2.10,12,1,6,129
spolu.bucek.eu,mastodon,4.2.10,12,11,11,989
teqpot.info,mastodon,4.2.10,12,9,13,177
jklol.my.to,mastodon,3.2.1,12,8,10,3533
t.sugar.dad,mastodon,4.2.10,12,1,4,5
ma.suldomi.net,mastodon,4.2.10,12,13,13,106
hellions.cloud,mastodon,4.2.10,11,2,6,1940
alien.insurrection.tech,mastodon,4.2.10,11,2,5,634
stellaria.network,mastodon,4.2.10,11,3,4,406176
md.xps2.net,mastodon,4.3.0-alpha.5,11,3,3,205295
mastodon.localecho.net,mastodon,4.2.7,11,3,4,906
social.sargasso.nl,mastodon,4.2.10,11,7,35,23012
beep.town,mastodon,4.2.10,11,9,11,5848
mog.blue,mastodon,4.2.10,11,5,7,8330
bot.swiss.social,mastodon,4.2.10,11,8,8,17199
mastodon.hakurei.win,mastodon,4.3.0-alpha.5+glitch,11,5,7,3191
gloria.social,mastodon,4.2.9,11,7,7,1105
crooklyn.social,mastodon,4.0.2,11,7,8,20456
mdx.ggtea.org,mastodon,3.5.10 06f906acac,11,2,2,242
witten.social,mastodon,4.2.10,11,7,23,364
mstdn.wasamon.org,mastodon,4.2.7,11,1,3,329
galaxyrailway.link,mastodon,4.2.10,11,7,18,1604
fuerth.social,mastodon,4.2.10,11,6,7,1059
pigeons.club,mastodon,4.2.10,11,2,5,584
tutoteket.no,mastodon,4.2.10,11,9,10,29279
exile.social,mastodon,4.2.10,11,4,5,9544
nora.social,mastodon,4.2.10,11,10,11,2695
syzito.xyz,mastodon,4.2.10,11,5,9,27281
crispsandwi.ch,mastodon,4.2.10,11,8,8,18031
okpeace.org,mastodon,4.2.10,11,4,4,2699
social.wastedalpaca.wtf,mastodon,4.2.10,11,2,7,6439
mastodon.helvetet.eu,mastodon,4.3.0-alpha.5+glitch,11,1,1,1454
bongo.social,mastodon,4.2.10,11,2,10,60
trunk.lol,mastodon,4.2.10,11,6,9,2440
73-110.pl,mastodon,4.2.10,11,2,11,189
anticapitalistcatgirl.club,mastodon,4.2.10,11,0,2,2286
aspa.masto.host,mastodon,4.2.10,11,2,2,1591
babblebox.net,mastodon,4.2.10,11,4,5,813
beratna.net,mastodon,4.2.10,11,9,9,37359
cincy.social,mastodon,4.2.10,11,2,6,345
communist.accountant,mastodon,4.2.10,11,2,8,336
community.orixon.org,mastodon,4.2.10,11,7,11,81
corporaterunaways.social,mastodon,4.2.7,11,11,11,70
crowsnest.social,mastodon,4.2.10,11,1,3,2555
cyber.ms,mastodon,4.3.0-alpha.3+glitch,11,3,12,58
delregno.social,mastodon,4.2.10,11,1,1,251
dnsimple.social,mastodon,4.1.15,11,4,5,413
does.social,mastodon,4.2.10,11,5,6,1255
dopamine.social,mastodon,4.2.10,11,7,11,175
drg.nz,mastodon,4.2.10,11,5,7,2090
dustbuster.club,mastodon,4.1.14,11,2,4,934
fastcompany.social,mastodon,4.2.10,11,0,3,12
fedi.lat,mastodon,4.2.10,11,8,12,7060
freesewing.social,mastodon,4.2.10,11,5,7,116
hyss.us,mastodon,4.0.0,11,4,8,2246
istheguy.com,mastodon,4.3.0-nightly.2024-07-05+glitch,11,1,2,2592
magnificentbeardsfan.club,mastodon,4.2.10,11,6,7,45616
mastodon.ameo.dev,mastodon,4.3.0-alpha.5,11,1,2,252
mastodon.from-de.com,mastodon,4.2.10,11,4,6,349
mastodon.fsu-snuipp.fr,mastodon,4.2.10,11,6,12,777
mastodon.steinernebruecke.de,mastodon,4.1.13,11,3,6,1716
mastodon.tod.net,mastodon,4.2.10,11,3,4,1490
mn.social,mastodon,4.2.8,11,2,8,212
myna.social,mastodon,3.5.3,11,2,5,1472
mysocial.community,mastodon,4.2.10,11,1,6,359
networker.social,mastodon,4.2.10,11,2,11,144
nyan.lol,mastodon,4.2.10,11,7,11,2608
ocw.social,mastodon,4.3.0-alpha.5+glitch,11,6,7,6898
otter.garden,mastodon,4.2.10,11,3,3,1103
our.devchatter.com,mastodon,4.2.10,11,3,4,3058
peering.social,mastodon,4.2.10,11,7,9,3106
postagram.net,mastodon,4.2.10,11,4,8,128
pub.ehrengruppe.de,mastodon,4.2.10,11,3,6,164
rarified.online,mastodon,4.2.10,11,4,6,78
sciencemediacenter.social,mastodon,4.2.10,11,4,6,533
seldo.dev,mastodon,4.0.2,11,1,44,259
social.colectif.de,mastodon,4.2.10,11,4,6,1777
social.consoledated.com,mastodon,4.2.9,11,1,2,397
social.diableco.com,mastodon,4.2.10,11,3,4,903
social.diehumanisten.de,mastodon,4.2.10,11,6,9,579
social.ellijaymakerspace.org,mastodon,4.2.8,11,2,2,950
social.linux-magazin.de,mastodon,4.2.10,11,9,12,267
social.ourwebgrove.com,mastodon,4.2.10,11,3,4,10285
social.rights.ninja,mastodon,4.2.10,11,4,5,4099
social.samf.me,mastodon,4.0.2,11,10,11,105056
social.skewed.de,mastodon,4.2.10,11,4,4,18048
sorgatronmedia.social,mastodon,4.2.10,11,4,5,603
squad.town,mastodon,4.3.0-alpha.5+glitch,11,8,8,9946
techhangout.social,mastodon,4.2.10,11,6,6,7692
thinkydoers.social,mastodon,4.2.10,11,2,2,1071
torment.nexus,mastodon,4.2.10,11,2,2,47
vortex.masto.host,mastodon,4.2.10,11,3,7,1428
weyhe.social,mastodon,4.2.10,11,8,10,7198
xarxamontgri.masto.host,mastodon,4.2.10,11,3,5,36686
mastodon.calciumsigma.com,mastodon,4.0.6,11,0,3,55
brokkoli.social,mastodon,4.2.10,11,6,8,281
deff.no,mastodon,3.5.12,11,4,5,174
linguisten.info,mastodon,4.0.0rc2,11,2,18,986
eventprofs.social,mastodon,4.2.3,11,0,2,130
anothersuper.social,mastodon,4.2.10,11,2,5,93
m.monika.im,mastodon,4.2.10,11,3,6,163
flinta.social,mastodon,4.2.10,11,4,11,137
bonk.social,mastodon,4.3.0-alpha.5,11,5,9,326
baguette-it.social,mastodon,4.2.10,11,3,3,137
zk.gotdns.ch,mastodon,4.2.10,11,1,1,29
shortens.net,mastodon,4.2.10,11,1,1,216
orc.social,mastodon,4.0.2,11,0,1,111
ibh.social,mastodon,4.2.10,11,5,5,2283
enfants-et-famille.podcasts.chat,mastodon,3.3.0,11,0,1,17
letallmortalfleshfindtheirvoice.social,mastodon,4.2.10,11,0,2,185
social.linc.systems,mastodon,4.2.10,11,4,5,7307
m.pupu.moe,mastodon,3.5.3,11,3,4,56
publichealth.space,mastodon,4.2.10,11,0,2,11
mastodon.darksheep.social,mastodon,4.0.2,11,1,35,110
bat.chat,mastodon,4.2.10,11,0,1,0
bynight.cafe,mastodon,4.2.10,11,5,11,183
social.panic.com,mastodon,4.2.10,11,8,10,2087
39sounds.net,mastodon,3.5.10,11,2,3,2068
mastodon.conii.co,mastodon,4.2.10,11,8,12,9342
mastodon.yshi.org,mastodon,4.3.0-alpha.5+glitch,11,5,8,9870
social.smnz.de,mastodon,4.2.10,11,1,3,103
mastodon.teamnerds.cool,mastodon,4.0.2,11,1,3,220
mastodon.linuxserver.io,mastodon,4.2.10,11,7,9,676
mastodon.gruezi.net,mastodon,4.2.10,11,8,9,5234
mastodon.ghostdub.de,mastodon,4.2.10,11,7,8,2424
social.sineware.ca,mastodon,4.1.18,11,5,7,342
mastodon.uniastur.com,mastodon,4.2.10,11,2,6,1034
m.thebroom.us,mastodon,4.2.10,11,7,10,2421
social.rubikoid.ru,mastodon,4.3.0-alpha.5+glitch,11,1,4,524
staging.mstdn.maud.io,mastodon,4.3.0-alpha.5,11,3,4,469
mastodon.hiveagile.com,mastodon,4.2.7,11,3,6,781
runicfire.masto.host,mastodon,4.2.10,11,0,1,0
mast.fedicity.net,mastodon,4.2.10,11,4,8,536
mastodon.hyeoniuwu.lol,mastodon,4.2.10,11,9,10,1260
wellesley100.masto.host,mastodon,4.2.10,11,6,11,67
spartanburg.social,mastodon,4.2.10,10,2,2,2973
banjo.town,mastodon,4.2.10,10,5,5,4066
awau.social,mastodon,4.3.0-nightly.2024-07-15+chuckya,10,2,4,537
snowfan.masto.host,mastodon,4.2.10,10,16,22,4249
changelog.social,mastodon,4.2.10,10,8,8,2419
mastodon.zergy.net,mastodon,4.2.10,10,4,6,10720
transmom.love,mastodon,4.3.0-alpha.5+glitch,10,4,5,11473
tomkahe.com,mastodon,4.3.0-alpha.5+tom,10,10,10,62918
lasersword.club,mastodon,4.2.10,10,2,2,6295
alpines.club,mastodon,4.1.13,10,2,7,1429
mastodon.chasalin.nl,mastodon,4.2.7,10,6,6,31505
parens.social,mastodon,4.2.10,10,6,8,3762
m.universetoday.com,mastodon,4.2.10,10,2,3,3618
relayfm.social,mastodon,4.2.10,10,9,9,2055
portside.social,mastodon,4.2.10,10,0,30,2755
mastodon.xy-space.de,mastodon,4.2.10,10,4,7,1291
mas.corq.co,mastodon,4.2.10,10,4,8,33661
19marbles.org,mastodon,4.1.0,10,4,10,5006
an.exchange,mastodon,4.2.10,10,2,3,1711
social.isaa.it,mastodon,4.2.10,10,7,10,2093
texasobserver.social,mastodon,4.2.10,10,2,5,9609
linh.social,mastodon,4.2.10,10,8,10,7393
mastodon.brk.io,mastodon,4.2.10,10,3,7,1471
gazouiller.fr,mastodon,4.1.4,10,2,5,99
social.dytrych.cloud,mastodon,4.2.10,10,7,9,165615
ps-sw145sd.hostdon.ne.jp,mastodon,4.2.10,10,5,7,21239
mastodon.ef67daisuki.club,mastodon,4.2.8_ef67daisuki_club,10,3,4,3817
epsilon-ix.masto.host,mastodon,4.2.10,10,6,7,9297
mastodon.bit.nl,mastodon,4.2.10,10,8,11,156
bangdream.tokyo,mastodon,4.2.10,10,3,5,156
nycity.social,mastodon,4.2.10,10,1,38,45
sosialist.party,mastodon,4.2.10,10,4,4,1757
vyrse.social,mastodon,4.2.10,10,4,6,5124
nileane.fr,mastodon,4.2.10,10,7,9,12712
mas.erb.pw,mastodon,4.2.10,10,7,10,5412
social.hnws.me,mastodon,4.2.10,10,6,8,634
toot.kuba-orlik.name,mastodon,4.1.4,10,5,7,12062
mystical.garden,mastodon,4.2.10,10,8,9,6334
sled.social,mastodon,4.2.10,10,4,6,924
mastodon.baazee.social,mastodon,4.2.10,10,3,3,863
digitaldarkage.cc,mastodon,4.1.18,10,5,7,4967
kotobaphil-mtdn.eu,mastodon,4.0.2,10,6,8,29945
abypom.work,mastodon,4.2.10,10,9,9,89138
nuvem.lgbt,mastodon,4.2.10,10,8,11,11783
arktos.social,mastodon,4.2.10,10,3,3,3666
asso.lgbt,mastodon,4.2.10,10,7,10,725
bergamot.social,mastodon,3.5.3,10,3,5,777
blogi.social,mastodon,4.2.10,10,7,10,2610
bvb.social,mastodon,4.2.10,10,5,7,300
dataare.cool,mastodon,4.2.10,10,8,10,17888
dogsports.social,mastodon,4.2.10,10,0,3,956
fediver.de,mastodon,4.2.7,10,5,14,6915
fluff.land,mastodon,4.2.10,10,8,10,7871
foxes.rocks,mastodon,4.2.5,10,6,8,2271
frnds.network,mastodon,4.2.7,10,2,3,73
harrystyl.es,mastodon,4.2.10,10,9,10,41
hashapp.space,mastodon,4.2.7,10,2,4,145
hellyeah.social,mastodon,4.2.10,10,3,6,153
howse.social,mastodon,4.1.18,10,8,11,45712
indigenousgulf.online,mastodon,4.3.0-alpha.5+glitch,10,6,7,765
jade.moe,mastodon,4.3.0-alpha.5+glitch,10,6,6,54007
kalakukko.social,mastodon,4.2.10,10,3,5,707
keuwel.com,mastodon,4.2.1,10,0,3,12
kogumus.masto.host,mastodon,4.2.10,10,2,3,1728
lighttheunicorn.horse,mastodon,4.2.10,10,7,10,2325
mabe.space,mastodon,4.1.18,10,3,5,703
mastodonarchitecture.org,mastodon,4.2.10,10,3,5,722
mastodon.electric-goat.net,mastodon,4.2.10,10,6,6,945
mastodon.f12n.de,mastodon,3.2.0,10,1,2,311
mastodon.flooey.org,mastodon,3.5.10,10,5,7,1309
masto.krashboyz.org,mastodon,4.2.10,10,5,8,2399
mstdn.nursing.unibas.ch,mastodon,4.2.10,10,6,9,242
my0.net,mastodon,4.2.10,10,1,4,12637
nautical.social,mastodon,4.2.10,10,8,8,314
ndrgrnd.social,mastodon,4.1.4,10,2,4,284
nonsocialand.space,mastodon,4.1.15,10,2,3,378
oldpeople.cafe,mastodon,4.2.10,10,0,3,65
pfft.lol,mastodon,4.2.8,10,4,4,645
poyusbuddy.com,mastodon,4.2.8,10,2,3,620
queerdon.social,mastodon,4.2.10,10,2,3,275
reshet.social,mastodon,4.2.10,10,3,4,919
rogersfam.co,mastodon,4.2.7,10,3,4,1737
safejust.space,mastodon,4.2.10,10,3,8,304
sausage.social,mastodon,4.2.10,10,4,14,220
shrimply.social,mastodon,4.2.10,10,6,10,4089
skyhoppers.club,mastodon,4.2.10,10,9,10,4436
smartcity.social,mastodon,4.2.10,10,8,9,401
social.4score7pongs.com,mastodon,4.2.10,10,6,6,2282
social.c3l.lu,mastodon,4.2.7,10,8,8,1395
social.egalwaat.lu,mastodon,4.2.10,10,10,10,7404
social.la10cy.net,mastodon,4.2.10,10,4,8,5803
social.python.it,mastodon,4.0.1,10,5,6,344
social.sociopathic.ca,mastodon,4.2.10,10,7,9,303921
social.zerotier.com,mastodon,4.2.10,10,4,6,882
strangeplace.me,mastodon,4.2.10,10,4,5,8645
suncoast.dev,mastodon,4.0.2,10,3,7,877
superhappy.social,mastodon,4.2.10,10,3,10,507
theater.im,mastodon,4.2.10,10,10,10,17897
toots.cl,mastodon,4.2.10,10,4,8,589
trouth.eu,mastodon,4.2.10,10,9,10,7655
westen.social,mastodon,4.2.10,10,1,26,30
wiki.style,mastodon,4.2.10,10,1,3,1101
xn--pnibles-bya.xn--transposes-i7a.eu,mastodon,4.2.10,10,1,2,18514
yapstreams.com,mastodon,4.2.10,10,0,5,40
nongrata.social,mastodon,4.2.10,10,1,5,47
social.vyvojari.dev,mastodon,4.2.10,10,2,3,131
mastodon.hochschule-trier.de,mastodon,4.1.18,10,2,4,81
social.maschinendeck.org,mastodon,4.2.10,10,6,6,186
backpacklife.social,mastodon,4.2.10,10,3,8,448
vogtland.social,mastodon,4.2.10,10,3,6,192
kamel.social,mastodon,4.1.18,10,3,4,74
kibris.be,mastodon,4.2.9,10,1,18,13048
social.blinkfire.ai,mastodon,4.2.3,10,1,2,26
eight-bamboo.com,mastodon,4.2.7,10,9,9,4755
furnu.org,mastodon,4.2.10,10,3,6,822
social.galacticcoders.com,mastodon,4.2.1,10,2,5,99
database.club,mastodon,4.1.2,10,0,1,11
qwq.ooo,mastodon,4.2.10,10,7,11,1071
nt.mstdon.app,mastodon,4.2.10,10,2,6,263
quietude.space,mastodon,3.2.0,10,4,4,189
social.sullivanservices.xyz,mastodon,4.0.2,10,1,7,280
moyu.social,mastodon,4.1.2,10,2,4,80
mediastudies.berlin,mastodon,4.0.2,10,2,4,66
puyopuyotetr.is,mastodon,4.3.0-alpha.5+puyo,10,7,7,34
mastodon.mfbfreaks.nl,mastodon,4.2.10,10,1,3,2
toot.shortbus.fail,mastodon,4.2.8,10,3,6,550
mastodon.riebe.cloud,mastodon,4.2.9,10,7,10,49
online-marketing.social,mastodon,4.1.0,10,1,5,109
social.anarchy-nomad.de,mastodon,4.2.10,10,10,10,232
mastodon.vx0.dev,mastodon,4.2.10,10,1,2,1006
mastodon.rosiesocosy.com,mastodon,4.2.10,10,6,7,361
toot.queer-lexikon.net,mastodon,4.2.10,10,8,8,14405
mstdn.strafpla.net,mastodon,4.2.10,10,6,7,8653
awawa.meo.ws,mastodon,4.2.10,10,3,3,403
sharebright.net,mastodon,4.0.2,10,4,7,373
pluffy.monster,mastodon,4.2.10,10,9,10,2083
eduresearch.social,mastodon,4.2.9,10,9,10,55
gronp.masto.host,mastodon,4.2.10,10,3,9,401
PS-SW145SD.hostdon.ne.jp,mastodon,4.2.10,10,6,7,21344
mastodon.unmadegaming.com,mastodon,4.2.10,10,2,2,146
htownhandshakes.com,mastodon,4.2.10,10,10,10,62
t.dlyang.me,mastodon,4.2.9,10,1,1,960
patelish.org,mastodon,4.2.7,10,3,4,26
mstdn.di-do.net,mastodon,4.1.6,10,2,6,230
mastodon.fabertech.nl,mastodon,4.1.2,10,8,10,1113
mastodon.mcdowallfam.co,mastodon,4.2.10,10,10,10,155
posts.authenticwv.org,mastodon,4.2.10,10,10,10,44
duck.haus,mastodon,4.2.10,9,7,7,21366
mato.social,mastodon,4.2.10,9,4,9,2307
social.bbc,mastodon,4.1.18,9,4,8,505
social.bigcavemaps.com,mastodon,4.1.18,9,2,25,3373
mastodon.slightlycyberpunk.com,mastodon,4.1.18,9,6,6,17165
djanzu.tokyo,mastodon,4.2.10,9,2,3,26279
mastodon.manalejandro.com,mastodon,4.2.10,9,3,7,494
gimme5.club,mastodon,4.2.10,9,2,3,18
yysk.icu,mastodon,4.2.10,9,5,7,278293
jpmstdn.com,mastodon,4.2.10,9,9,9,20223
treehouse.technopagans.de,mastodon,4.2.10,9,6,6,6945
wp-punks.social,mastodon,4.2.10,9,5,33,233
gxtech.social,mastodon,4.2.10,9,1,2,1146
opensocial.media,mastodon,4.3.0-alpha.3+glitch,9,5,5,1182
ertona.net,mastodon,4.2.10+ertona.1,9,2,4,42002
